year,lat,lon,dataset,PS_pathway,species,Genus,epithet,little_d13,big_D13,phosphorus,myco_type,N_fix,tmp,par,vpd,z,pre_mean,nitrogen_0.5cm,nitrogen_15.30cm,nitrogen_30.60cm,nitrogen_5.15cm,soc_0.5cm,soc_15.30cm,soc_30.60cm,soc_5.15cm,awi_pm_sr_yr,pet_pm_sr_yr,CO2
1901,41.765463,-72.953184,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.0530818,18.7323858,9.0094,AM,NA,13.12146194,762.58721,0.518737258,100,956.6446418,15.80000019,1.5,0.800000012,4.900000095,252.6000061,18.60000038,9,61.40000153,11167,1095,296.2
1902,41.765463,-72.953184,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.14886751,17.78843814,9.0094,AM,NA,13.12146194,762.58721,0.518737258,100,956.6446418,15.80000019,1.5,0.800000012,4.900000095,252.6000061,18.60000038,9,61.40000153,11167,1095,296.6
1902,47.4806,-94.8842,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.27357387,18.12349588,14.4925,AM,NA,13.3027388,874.0439967,0.533290455,435,560.6339296,NA,NA,NA,NA,NA,NA,NA,NA,6418,980,296.6
1902,40.012071,-83.00185,Sheldon ,C3,Pinus strobus,Pinus,strobus,-27.82654235,21.63867177,35.617625,EcM,NA,13.43469381,765.2473505,0.477602446,294,833.4321426,NA,NA,NA,NA,NA,NA,NA,NA,7642,1262,296.6
1902,41.966272,-73.312415,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.87892183,18.55043669,3.59,AM,NA,12.87115575,769.6560077,0.498901798,283,974.994643,14.69999981,2.299999952,1.799999952,4.300000191,219.1999969,16.29999924,7.5,45.09999847,11256,1047,296.6
1903,41.740931,-73.189485,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-23.13023416,16.71689997,10.94,AM,NA,12.87115575,769.6560077,0.498901798,283,974.994643,15.10000038,2.099999905,1.5,4.699999809,226.6999969,18.60000038,7.599999905,55.70000076,11681,1062,297
1903,45.777045,-108.543779,Sheldon ,C3,Thuja plicata,Thuja,plicata,-24.3376343,18.21084314,4.374,AM,NA,11.99754335,825.1245983,0.754884768,1141,316.3785711,NA,NA,NA,NA,NA,NA,NA,NA,2368,1536,297
1904,41.925407,-85.987621,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-25.9817325,19.71393468,10.94,AM,NA,13.72210633,772.9511321,0.546352548,257,815.5214287,9.399999619,3,2.099999905,3.400000095,54.29999924,20.10000038,14.69999981,20.10000038,8721,1112,297.5
1904,48.541389,-123.0225,Sheldon ,C3,Thuja plicata,Thuja,plicata,-24.5021454,18.1672828,12.9098,AM,NA,9.9316829,591.88284,0.314083037,62,0,NA,NA,NA,NA,NA,NA,NA,NA,6704,897,297.5
1905,44.878721,-68.687558,Sheldon ,C3,Thuja occidentalis,Thuja,occidentalis,-24.35036655,18.08063668,26.1723,AM,NA,11.5958227,799.1185709,0.345918174,67,762.0035718,11.5,1.299999952,0.600000024,2.099999905,183.8000031,17.79999924,6.400000095,34.40000153,10322,1016,298
1906,40.022434,-105.419129,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-26.4511956,20.31864814,11.7129,EcM-AM,NA,10.92549152,883.8508292,0.680160309,1926,386.3625,3.599999905,1.399999976,0.899999976,2.200000048,60,14.60000038,10.19999981,30.89999962,3122,1469,298.4
1906,39.991649,-105.18781,Sheldon ,C3,Populus tremuloides,Populus,tremuloides,-24.5988174,18.38353051,11.7129,EcM-AM,NA,10.59856789,906.7733604,0.675387221,2135,367.5285717,2.5,1.100000024,0.800000012,1.600000024,26.79999924,11.10000038,6.5,16.79999924,2659,1759,298.4
